sampling,popmodel,replicate,n_snps
independenthomochronous,expgrowthslow,32,4073
independenthomochronous,expgrowthslow,33,4042
independenthomochronous,expgrowthslow,34,3895
independenthomochronous,expgrowthslow,35,3815
independenthomochronous,expgrowthslow,36,3949
independenthomochronous,expgrowthslow,37,4026
independenthomochronous,expgrowthslow,38,3946
independenthomochronous,expgrowthslow,39,4212
independenthomochronous,expgrowthslow,40,4210
independenthomochronous,expgrowthslow,41,4275
independenthomochronous,expgrowthslow,42,3850
independenthomochronous,expgrowthslow,43,3642
independenthomochronous,expgrowthslow,44,3968
independenthomochronous,expgrowthslow,45,4055
independenthomochronous,expgrowthslow,46,4087
independenthomochronous,expgrowthslow,47,4049
independenthomochronous,expgrowthslow,48,4120
independenthomochronous,expgrowthslow,49,3889
independenthomochronous,expgrowthslow,50,3947
independenthomochronous,expgrowthslow,51,4348
independenthomochronous,expgrowthslow,52,4039
independenthomochronous,expgrowthslow,53,3752
independenthomochronous,expgrowthslow,54,4221
independenthomochronous,expgrowthslow,55,3912
independenthomochronous,expgrowthslow,56,4282
independenthomochronous,expgrowthslow,57,4366
independenthomochronous,expgrowthslow,58,4278
independenthomochronous,expgrowthslow,59,3981
independenthomochronous,expgrowthslow,60,3997
independenthomochronous,expgrowthslow,61,3723
independenthomochronous,expgrowthslow,62,3951
independenthomochronous,expgrowthslow,63,4294
independenthomochronous,expgrowthslow,64,4246
independenthomochronous,expgrowthslow,65,4431
independenthomochronous,expgrowthslow,66,4283
independenthomochronous,expgrowthslow,67,3957
independenthomochronous,expgrowthslow,68,3954
independenthomochronous,expgrowthslow,69,4400
independenthomochronous,expgrowthslow,70,4404
independenthomochronous,expgrowthslow,71,3873
independenthomochronous,expgrowthslow,72,4119
independenthomochronous,expgrowthslow,73,4244
independenthomochronous,expgrowthslow,74,3965
independenthomochronous,expgrowthslow,75,4012
independenthomochronous,expgrowthslow,76,4035
independenthomochronous,expgrowthslow,77,4454
independenthomochronous,expgrowthslow,78,4397
independenthomochronous,expgrowthslow,79,4050
independenthomochronous,expgrowthslow,80,4193
independenthomochronous,expgrowthslow,81,4232
independenthomochronous,expgrowthslow,82,4216
independenthomochronous,expgrowthslow,83,3594
independenthomochronous,expgrowthslow,84,3791
independenthomochronous,expgrowthslow,85,3779
independenthomochronous,expgrowthslow,86,3615
independenthomochronous,expgrowthslow,87,3882
independenthomochronous,expgrowthslow,88,4022
independenthomochronous,expgrowthslow,89,3835
independenthomochronous,expgrowthslow,90,4286
independenthomochronous,expgrowthslow,91,4185
independenthomochronous,expgrowthslow,92,4294
independenthomochronous,expgrowthslow,93,3888
independenthomochronous,expgrowthslow,94,3798
independenthomochronous,expgrowthslow,95,4105
independenthomochronous,expgrowthslow,96,4135
independenthomochronous,expgrowthslow,97,4118
independenthomochronous,expgrowthslow,98,3861
independenthomochronous,expgrowthslow,99,4203
independenthomochronous,uniform,0,4380
independenthomochronous,uniform,1,4155
independenthomochronous,uniform,2,8981
independenthomochronous,uniform,3,4195
independenthomochronous,uniform,4,6094
independenthomochronous,uniform,5,9350
independenthomochronous,uniform,6,8483
independenthomochronous,uniform,7,5114
independenthomochronous,uniform,8,4266
independenthomochronous,uniform,9,5802
independenthomochronous,uniform,10,5952
independenthomochronous,uniform,11,4587
independenthomochronous,uniform,12,7112
independenthomochronous,uniform,13,4569
independenthomochronous,uniform,14,6731
independenthomochronous,uniform,15,5811
independenthomochronous,uniform,16,5821
independenthomochronous,uniform,17,4500
independenthomochronous,uniform,18,5924
independenthomochronous,uniform,19,4919
independenthomochronous,uniform,20,5580
independenthomochronous,uniform,21,4916
independenthomochronous,uniform,22,5449
independenthomochronous,uniform,23,10201
independenthomochronous,uniform,24,5480
