sampling,popmodel,replicate,n_snps
linearconstant,bottleneck,48,4980
linearconstant,bottleneck,49,5288
linearconstant,bottleneck,50,8158
linearconstant,bottleneck,51,6645
linearconstant,bottleneck,52,4560
linearconstant,bottleneck,53,6911
linearconstant,bottleneck,54,4898
linearconstant,bottleneck,55,5425
linearconstant,bottleneck,56,6412
linearconstant,bottleneck,57,4988
linearconstant,bottleneck,58,6100
linearconstant,bottleneck,59,4318
linearconstant,bottleneck,60,6449
linearconstant,bottleneck,61,6970
linearconstant,bottleneck,62,5340
linearconstant,bottleneck,63,4629
linearconstant,bottleneck,64,5465
linearconstant,bottleneck,65,7421
linearconstant,bottleneck,66,5548
linearconstant,bottleneck,67,5892
linearconstant,bottleneck,68,5464
linearconstant,bottleneck,69,5074
linearconstant,bottleneck,70,6055
linearconstant,bottleneck,71,6335
linearconstant,bottleneck,72,7438
linearconstant,bottleneck,73,6819
linearconstant,bottleneck,74,5289
linearconstant,bottleneck,75,5078
linearconstant,bottleneck,76,7245
linearconstant,bottleneck,77,5135
linearconstant,bottleneck,78,8819
linearconstant,bottleneck,79,5334
linearconstant,bottleneck,80,4586
linearconstant,bottleneck,81,5359
linearconstant,bottleneck,82,4904
linearconstant,bottleneck,83,6728
linearconstant,bottleneck,84,5537
linearconstant,bottleneck,85,5980
linearconstant,bottleneck,86,7060
linearconstant,bottleneck,87,4728
linearconstant,bottleneck,88,4882
linearconstant,bottleneck,89,4944
linearconstant,bottleneck,90,6095
linearconstant,bottleneck,91,5213
linearconstant,bottleneck,92,6958
linearconstant,bottleneck,93,4788
linearconstant,bottleneck,94,5506
linearconstant,bottleneck,95,6159
linearconstant,bottleneck,96,5147
linearconstant,bottleneck,97,3870
linearconstant,bottleneck,98,6183
linearconstant,bottleneck,99,4927
