state	joint	prior	likelihood	treeModel.rootHeight	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	clock.rate	treeLikelihood	branchRates	skyline
8000	-64807.427790636175	-2386.857085059723	-62420.57070557645	906.5884569450146	15589.10644813958	3109.8481759664855	2665.9911921809744	1920.313710921986	4490.885432879742	2352.5039516932925	2288.074287785781	2214.5831020362516	2166.9224539224692	1395.1059841408533	754.1702741228305	6.476136843587217E-5	-62420.57070557645	0.0	-2182.121885226819
16000	-64423.51578138737	-2354.3249582961835	-62069.19082309119	960.4398607473966	15391.294548376496	1629.5550564272733	3637.649754044612	1126.6192440091966	1866.5579099873412	3053.6556867793665	4417.37500054668	3459.364046659887	1419.0595517317936	1159.2530407375868	937.3670813410196	6.476136843587217E-5	-62069.19082309119	0.0	-2150.786468505879
24000	-64328.90631336555	-2355.576051041958	-61973.330262323594	942.0412290352987	15479.062441531361	1526.209993951106	3634.4183102830543	910.9404096293262	1801.6068392102181	3360.4373946923565	2171.161333446086	2290.6270554387115	2174.3850535151887	1287.1589608711715	858.6517292003952	6.476136843587217E-5	-61973.330262323594	0.0	-2153.969900568371
32000	-64255.09299301688	-2356.861563271701	-61898.23142974518	956.1485277086399	15699.635463945917	1885.625615319962	3433.581612490378	1193.319104472923	2568.2604629800094	2339.612181723348	2551.4644904179286	1567.5969810488934	2737.007391362394	1996.2068716614774	1205.5500633763822	6.476136843587217E-5	-61898.23142974518	0.0	-2152.7990776293577
40000	-64279.27094165688	-2351.5214919186797	-61927.74944973821	983.8050865951735	15698.681807313002	1657.490990987842	3229.4283111800437	1686.0010335253785	868.0488820794118	2133.5021690937383	2758.497920237242	2333.853161870297	1939.3009693634515	1269.3971661319179	1400.0994053938646	6.476136843587217E-5	-61927.74944973821	0.0	-2150.5256634285734
48000	-64262.346662372925	-2342.705386536552	-61919.64127583637	984.6354924008269	15483.922813371059	1084.771618728019	2442.040561224619	2421.36866776237	970.7587631986103	2149.568907774659	2844.6242166511724	1909.2181762208536	2419.1235597116347	1628.4870719185426	1274.6886881922537	6.476136843587217E-5	-61919.64127583637	0.0	-2141.6761944262466
56000	-64243.69795434417	-2347.175525817351	-61896.52242852682	956.1579169039429	15654.517882506478	1754.9001330486476	3713.1517548061133	2296.8709197722164	1174.5700113121266	2956.6809409869115	2453.7073605903815	1956.4552581417913	2549.863367133644	1770.1776947212481	1060.4173026780338	6.476136843587217E-5	-61896.52242852682	0.0	-2143.136488427999
64000	-64257.36134608473	-2365.8099198266464	-61891.551426258084	983.798266860468	15935.80300682381	2645.776734474707	2091.7388079166903	3409.55896110207	1695.5630380227662	3703.038341475042	1828.375121937398	1265.1444506313983	3760.3922289807624	2227.3661461808206	930.5249562313082	6.476136843587217E-5	-61891.551426258084	0.0	-2159.488655312208
72000	-64225.63657137026	-2345.448264444465	-61880.1883069258	934.3534416898924	15311.983065379987	2016.5173319640048	2164.4691789581607	2328.9095621581564	1496.9365448324804	1914.4712095464781	2459.335409719695	1343.620135700099	1831.945857666958	2228.5317204480953	1124.698504884603	6.476136843587217E-5	-61880.1883069258	0.0	-2144.8117826955754
80000	-64249.182081138766	-2353.127421472287	-61896.05465966648	966.9031069062057	15740.742861477898	1972.0727321215518	2602.465895575129	3038.915001443261	2073.547883124042	1239.3972443315242	1894.6145655953562	1181.7696844046845	2208.4940275780696	2250.3543878746223	1267.819056081427	6.476136843587217E-5	-61896.05465966648	0.0	-2151.6289100876484
