state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	treeLikelihood	branchRates	coalescent
1000	-70123.5141831597	-2327.150345926763	-67796.36383723293	265.87052005434015	15725.94488665039	4077.478907203697	6.38888888888889E-5	-67796.36383723293	0.0	-2314.3721956764266
2000	-67893.76220588275	-2285.2615517638556	-65608.50065411889	348.5094641924972	15376.04946010734	3397.2889420874817	6.38888888888889E-5	-65608.50065411889	0.0	-2272.7596852380893
3000	-66967.83072074124	-2267.200016630604	-64700.630704110634	408.2601270083661	15327.597825502977	3135.8527113934	6.38888888888889E-5	-64700.630704110634	0.0	-2254.818718926517
4000	-66366.59795431265	-2258.1203749154715	-64108.47757939718	456.15323247225984	15699.46847631966	3292.605127788826	6.38888888888889E-5	-64108.47757939718	0.0	-2245.665681502512
5000	-65806.24152374866	-2232.789689880824	-63573.45183386784	508.87605885078835	15350.031725032391	2747.39347851975	6.38888888888889E-5	-63573.45183386784	0.0	-2220.60663707407
6000	-65390.87132017299	-2226.628156702938	-63164.243163470055	569.3413786003271	15736.572261435229	2910.33579387236	6.38888888888889E-5	-63164.243163470055	0.0	-2214.3588702243287
7000	-65027.97629253675	-2212.240423973128	-62815.73586856362	599.8717737441314	15558.910874810072	2647.6755511682463	6.38888888888889E-5	-62815.73586856362	0.0	-2200.112595719281
8000	-64859.27144922286	-2205.7069710890087	-62653.564478133856	696.8359439360828	15933.319804560439	2355.44641454221	6.38888888888889E-5	-62653.564478133856	0.0	-2193.7532765259593
9000	-64753.392057927726	-2195.4618991584016	-62557.930158769326	695.0531070816556	15585.709326210173	2171.385859711051	6.38888888888889E-5	-62557.930158769326	0.0	-2183.628847045885
10000	-64614.40302956542	-2191.1490241172487	-62423.25400544817	699.5783005623507	15642.422960062459	2186.362091593379	6.38888888888889E-5	-62423.25400544817	0.0	-2179.3057965431303
11000	-64531.93973950316	-2187.9313303013855	-62344.00840920178	770.9395095007609	16064.861576601765	2116.139189334982	6.38888888888889E-5	-62344.00840920178	0.0	-2176.1364054890787
12000	-64489.35285988014	-2183.5519296552275	-62305.80093022491	814.1551900771323	16148.536840954937	2373.4929954600543	6.38888888888889E-5	-62305.80093022491	0.0	-2171.586896961516
13000	-64377.738469238175	-2173.2588095853534	-62204.47965965282	767.9683852511453	15517.14247682554	2275.52328249449	6.38888888888889E-5	-62204.47965965282	0.0	-2161.3563500019245
14000	-64355.67238889617	-2173.7611745232252	-62181.91121437294	800.0250501025344	15684.271396613221	2218.0397284440423	6.38888888888889E-5	-62181.91121437294	0.0	-2161.896642018009
15000	-64318.972064911395	-2179.8105104127094	-62139.161554498685	814.202728260633	16238.871761572744	2282.336531928049	6.38888888888889E-5	-62139.161554498685	0.0	-2167.903616498134
16000	-64290.1261556418	-2173.5121748608085	-62116.613980780996	797.3799277187692	15798.998555201531	2273.239616508634	6.38888888888889E-5	-62116.613980780996	0.0	-2161.6112044232723
17000	-64269.98070374342	-2167.1434315451675	-62102.83727219825	782.404550936891	15564.787629284885	2122.691437500919	6.38888888888889E-5	-62102.83727219825	0.0	-2155.3439353343974
18000	-64256.494964730875	-2172.3128635439284	-62084.18210118695	808.8027750103024	15796.855132852006	2224.159625673319	6.38888888888889E-5	-62084.18210118695	0.0	-2160.4442486890894
