state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	treeLikelihood	branchRates	coalescent
1000	-47727.11534817729	-2399.0681235732545	-45328.04722460404	580.369970097483	22068.41674519686	5068.8048270793815	4.5903602434886736E-5	-45328.04722460404	0.0	-2385.957793530482
2000	-45827.86452212832	-2322.815681903962	-43505.04884022436	2148.7997423101347	22082.456356737028	4108.787896098286	4.5903602434886736E-5	-43505.04884022436	0.0	-2310.0259062959844
3000	-45359.62494171521	-2279.4837982273257	-43080.14114348788	2454.579616793289	21505.908491383016	3291.875118211245	4.5903602434886736E-5	-43080.14114348788	0.0	-2267.0294387954928
4000	-44926.597551233885	-2282.507597790086	-42644.0899534438	2513.1339586268095	22621.05394343998	3468.2735614054163	4.5903602434886736E-5	-42644.0899534438	0.0	-2269.9745301443177
5000	-44641.589721983066	-2265.8088512338036	-42375.78087074926	2437.7114581277747	21874.367514198726	2856.7520257546316	4.5903602434886736E-5	-42375.78087074926	0.0	-2253.567400831576
6000	-44404.85650061455	-2265.5828138843485	-42139.2736867302	2546.143715942896	22943.57285361391	3116.4242415093395	4.5903602434886736E-5	-42139.2736867302	0.0	-2253.2108569490024
7000	-44247.97261150539	-2244.1787397780713	-42003.79387172732	2487.597634700615	21960.42905394657	3032.962229583874	4.5903602434886736E-5	-42003.79387172732	0.0	-2231.847554954595
8000	-44143.715286220424	-2249.021821351109	-41894.69346486931	2507.256583150179	22842.560907498246	2912.982428006797	4.5903602434886736E-5	-41894.69346486931	0.0	-2236.751172741673
9000	-44041.02859735226	-2244.4376887221283	-41796.59090863013	2408.5955723124266	22344.912398976336	2628.462290770595	4.5903602434886736E-5	-41796.59090863013	0.0	-2232.32072950617
10000	-43978.148716334756	-2239.2372792869946	-41738.91143704776	2437.14461293502	22155.19064634854	3079.60126415548	4.5903602434886736E-5	-41738.91143704776	0.0	-2226.8831801603687
11000	-43900.634482542206	-2235.581154529825	-41665.05332801238	2364.2128820828107	22240.720625531605	2862.192327419923	4.5903602434886736E-5	-41665.05332801238	0.0	-2223.3368552425914
12000	-43825.99004931864	-2226.4109231228545	-41599.579126195786	2364.2466799351914	21932.585177385594	2859.9342373688796	4.5903602434886736E-5	-41599.579126195786	0.0	-2214.167805683521
13000	-43779.13693585445	-2226.023291589615	-41553.113644264835	2519.600616821234	22684.632057427207	2822.9019362428317	4.5903602434886736E-5	-41553.113644264835	0.0	-2213.7996849101064
14000	-43753.842788729584	-2221.3871637288453	-41532.45562500074	2629.5627586368264	22750.141805900897	2703.918903050074	4.5903602434886736E-5	-41532.45562500074	0.0	-2209.227947336977
15000	-43739.5379051145	-2217.2935935515457	-41522.24431156295	2592.7778852291804	23075.06872598568	2610.7560738898387	4.5903602434886736E-5	-41522.24431156295	0.0	-2205.1867184429343
16000	-43700.70630188326	-2208.8847169296164	-41491.82158495365	2537.915926225238	22505.35862384294	2560.419215097932	4.5903602434886736E-5	-41491.82158495365	0.0	-2196.8068719148346
17000	-43685.16125512017	-2204.4686048817307	-41480.69265023844	2526.9725052212416	22100.278454103445	2491.701754182752	4.5903602434886736E-5	-41480.69265023844	0.0	-2192.431285797399
18000	-43634.95468198995	-2208.969733154342	-41425.984948835605	2561.5629692760394	22491.82900842244	2502.2092475411637	4.5903602434886736E-5	-41425.984948835605	0.0	-2196.926148476084
19000	-43640.21307449987	-2210.759898665554	-41429.45317583432	2444.971540744604	22227.495812664656	2395.8482028239982	4.5903602434886736E-5	-41429.45317583432	0.0	-2198.7809348206756
20000	-43639.330280460454	-2209.0486768157252	-41430.281603644726	2562.550904719604	22486.549281873595	2522.073679207537	4.5903602434886736E-5	-41430.281603644726	0.0	-2196.9933155891554
21000	-43584.3859144118	-2195.122818708884	-41389.26309570292	2398.417067583594	21584.212321259718	2456.4469613997817	4.5903602434886736E-5	-41389.26309570292	0.0	-2183.106708506275
22000	-43575.56189931732	-2197.7149021927844	-41377.846997124536	2544.906733005776	22184.322506089105	2648.6513835923142	4.5903602434886736E-5	-41377.846997124536	0.0	-2185.586523924246
23000	-43581.065432595	-2200.285690546875	-41380.77974204813	2567.537833152963	22460.09098312722	2375.8204679133005	4.5903602434886736E-5	-41380.77974204813	0.0	-2188.3192015875566
24000	-43576.600606362226	-2197.629956715534	-41378.97064964669	2535.766934368625	22385.522989035235	2420.6883877118003	4.5903602434886736E-5	-41378.97064964669	0.0	-2185.6356584594732
25000	-43568.74468907675	-2199.3416436604216	-41369.40304541633	2457.8061074033667	22465.634443627776	2306.7189914632177	4.5903602434886736E-5	-41369.40304541633	0.0	-2187.4189838979537
26000	-43571.007300460275	-2196.3897176966693	-41374.6175827636	2485.8987384776856	22357.843651694606	2449.430281248786	4.5903602434886736E-5	-41374.6175827636	0.0	-2184.377863421805
27000	-43554.02294172016	-2198.8179871680463	-41355.204954552115	2575.8330247442464	22740.001425113383	2125.717702590017	4.5903602434886736E-5	-41355.204954552115	0.0	-2187.01638414125
