state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	treeLikelihood	branchRates	coalescent
1000	-46874.67460465965	-2357.0890745433057	-44517.58553011635	1228.484856609426	20884.51982609824	4307.201177781397	4.859497147686457E-5	-44517.58553011635	0.0	-2344.2275432560896
2000	-44884.2804345855	-2310.603016627699	-42573.6774179578	1641.0235897043192	21385.8562750445	4158.706367931822	4.859497147686457E-5	-42573.6774179578	0.0	-2297.794880294929
3000	-44479.19460528088	-2290.5601460343864	-42188.63445924649	1752.1496150945513	21491.41952675722	3339.8395816442808	4.859497147686457E-5	-42188.63445924649	0.0	-2278.083992222624
4000	-44232.807684023515	-2279.2949781848474	-41953.51270583867	1816.5481058207918	21688.132317531657	3059.273293194012	4.859497147686457E-5	-41953.51270583867	0.0	-2266.950825253488
5000	-43864.045354505295	-2245.5134995555068	-41618.53185494979	1727.3596603738622	20639.590732228422	2723.015904384525	4.859497147686457E-5	-41618.53185494979	0.0	-2233.3437676893514
6000	-43700.52532287678	-2240.773455909932	-41459.75186696685	1842.1057725651997	21111.323902793658	2929.980152585799	4.859497147686457E-5	-41459.75186696685	0.0	-2228.49408732559
7000	-43628.030362729485	-2228.4419128521213	-41399.58844987737	1775.412944917162	20734.27069414245	2844.202087805749	4.859497147686457E-5	-41399.58844987737	0.0	-2216.207054268681
8000	-43509.696427515126	-2224.9052237223414	-41284.79120379278	1890.949282833645	21063.18916807224	2682.168124020562	4.859497147686457E-5	-41284.79120379278	0.0	-2212.758071099032
9000	-43404.67683059494	-2213.289252712889	-41191.38757788205	1857.8980631713616	20829.433204620014	2454.574271271816	4.859497147686457E-5	-41191.38757788205	0.0	-2201.274277239434
10000	-43316.26069977616	-2218.673358203868	-41097.587341572296	1932.5216382801957	21648.025581031343	2780.1959559908682	4.859497147686457E-5	-41097.587341572296	0.0	-2206.4725583547274
11000	-43267.59633081872	-2212.5458957026485	-41055.05043511607	1859.960481446029	21415.816731112845	2319.644974394832	4.859497147686457E-5	-41055.05043511607	0.0	-2200.614942547018
12000	-43214.49714764891	-2217.367309948104	-40997.129837700806	1961.5953061280788	21558.04545883152	2705.842127246108	4.859497147686457E-5	-40997.129837700806	0.0	-2205.207031345033
13000	-43192.72276348484	-2212.554253496117	-40980.168509988725	1925.3906891886584	21644.065255672416	2733.2879905455384	4.859497147686457E-5	-40980.168509988725	0.0	-2200.3788946517593
14000	-43162.89365324188	-2200.5028765092866	-40962.390776732595	2022.3190682065704	21019.17317053253	2521.4325371138707	4.859497147686457E-5	-40962.390776732595	0.0	-2188.4478939913165
15000	-43163.87525190261	-2207.3891326128273	-40956.48611928978	1961.4511606366532	21585.26575088449	2581.436402647466	4.859497147686457E-5	-40956.48611928978	0.0	-2195.299100727292
16000	-43156.20216793602	-2204.489221015461	-40951.712946920554	1969.5192137495997	21726.118720016595	2499.5083206563904	4.859497147686457E-5	-40951.712946920554	0.0	-2192.44724448328
17000	-43141.169101769105	-2195.166999160795	-40946.00210260831	1844.74999891597	20608.87346056718	2355.5372016122537	4.859497147686457E-5	-40946.00210260831	0.0	-2183.213247350949
18000	-43138.46083302577	-2198.9170138290533	-40939.54381919672	2003.498308100714	21380.786758746894	2359.062424211466	4.859497147686457E-5	-40939.54381919672	0.0	-2186.961040783696
19000	-43127.047380381395	-2196.051867154589	-40930.99551322681	1982.6116441698468	21188.63463726118	2218.0427818949483	4.859497147686457E-5	-40930.99551322681	0.0	-2184.187332609844
20000	-43115.16899748569	-2186.1768257308136	-40928.99217175488	1979.1171428306966	20725.86075500556	2335.1379266233876	4.859497147686457E-5	-40928.99217175488	0.0	-2174.235990329304
21000	-43105.47973971252	-2182.687005921189	-40922.792733791335	2009.0909779084518	20874.43210386396	2225.6858683028117	4.859497147686457E-5	-40922.792733791335	0.0	-2170.817374644428
22000	-43088.70204812866	-2183.7116060279945	-40904.990442100665	1963.9377453281436	20877.20127232991	2481.191096858871	4.859497147686457E-5	-40904.990442100665	0.0	-2171.680579799821
23000	-43090.40978010608	-2182.3022797013464	-40908.10750040473	1901.7599099191568	20596.654779600776	2352.3511932279835	4.859497147686457E-5	-40908.10750040473	0.0	-2170.350538130012
24000	-43079.771091638635	-2181.282275858144	-40898.48881578049	2025.228614262547	20911.827509950745	2166.6255914230405	4.859497147686457E-5	-40898.48881578049	0.0	-2169.4524721473495
25000	-43089.30151121775	-2184.636042090735	-40904.665469127016	1947.1831157873773	20592.615403520736	2157.485957765101	4.859497147686457E-5	-40904.665469127016	0.0	-2172.8124944626084
26000	-43093.932186919155	-2197.9943628157303	-40895.93782410343	2015.3363858483976	21398.403739154164	2126.278298131	4.859497147686457E-5	-40895.93782410343	0.0	-2186.19236983061
27000	-43076.0460902545	-2187.8584734820092	-40888.18761677249	1917.9495866353843	20751.549470015343	2162.780266575056	4.859497147686457E-5	-40888.18761677249	0.0	-2176.0312988115934
28000	-43087.71775079889	-2193.1417264662077	-40894.57602433268	1966.0366084719014	21361.016406985833	2463.680158088934	4.859497147686457E-5	-40894.57602433268	0.0	-2181.1212411823585
29000	-43080.335300988874	-2189.380933480749	-40890.95436750812	1943.0759529340646	20964.15673921159	2339.30638986609	4.859497147686457E-5	-40890.95436750812	0.0	-2177.4374499293936
30000	-43086.174621348735	-2189.611627543673	-40896.56299380506	1977.895431768704	21038.21627069402	2359.0078079553055	4.859497147686457E-5	-40896.56299380506	0.0	-2177.6556888876503
31000	-43081.495922284426	-2196.6383928987457	-40884.85752938568	2120.8108088033296	22029.13393108879	2068.0311342342397	4.859497147686457E-5	-40884.85752938568	0.0	-2184.8774534980626
32000	-43061.35114961902	-2189.3463497932285	-40872.00479982579	2057.2956593026925	21693.295360452998	2387.6596114058993	4.859497147686457E-5	-40872.00479982579	0.0	-2177.372474345465
33000	-43044.85789825602	-2181.897811510945	-40862.96008674508	1993.5097971530258	21272.47503762809	2248.7770353770884	4.859497147686457E-5	-40862.96008674508	0.0	-2170.0128832789587
34000	-43054.656156443714	-2180.317260804995	-40874.33889563872	2015.0119499287985	21084.69505805746	2194.450095960904	4.859497147686457E-5	-40874.33889563872	0.0	-2168.4685656395027
35000	-43062.08202977077	-2185.5757340621767	-40876.50629570859	1993.8494278491448	21166.66581483179	2130.774302942076	4.859497147686457E-5	-40876.50629570859	0.0	-2173.7706171483296
36000	-43040.844716210784	-2185.616520409843	-40855.22819580094	2065.2638361084237	21238.43434555582	2276.987973694701	4.859497147686457E-5	-40855.22819580094	0.0	-2173.713106475566
37000	-43043.38282238073	-2187.6893257535894	-40855.69349662714	2125.715696209193	21295.9675566034	1949.128075288678	4.859497147686457E-5	-40855.69349662714	0.0	-2176.0157458613717
38000	-43050.12978828914	-2177.5261550857063	-40872.603633203435	2119.7879149720106	21031.21576593721	2108.67662515987	4.859497147686457E-5	-40872.603633203435	0.0	-2165.7364533260616
39000	-43052.91567417	-2176.4076388725975	-40876.508035297404	2057.127014725259	20658.924113634395	2492.6460505929526	4.859497147686457E-5	-40876.508035297404	0.0	-2164.3697556723187
40000	-43035.48849747617	-2184.6587491297173	-40850.829748346456	2131.7733710248194	21493.554026208607	2246.2824716244354	4.859497147686457E-5	-40850.829748346456	0.0	-2172.775466177355
41000	-43050.995007259255	-2189.7133209097433	-40861.28168634951	2035.0110003928978	21630.73698218852	2505.5502661305823	4.859497147686457E-5	-40861.28168634951	0.0	-2177.6677492707404
42000	-43033.71562359407	-2183.5246313194125	-40850.190992274656	2071.114618122918	21222.518061841143	2212.582995368024	4.859497147686457E-5	-40850.190992274656	0.0	-2171.663747900971
43000	-43044.47963734456	-2180.0518994787876	-40864.42773786577	2100.6914600383006	21292.694572201508	2244.075243892718	4.859497147686457E-5	-40864.42773786577	0.0	-2168.170073754699
44000	-43050.20445042873	-2189.0067254533838	-40861.19772497535	2085.6887908531526	21643.294447533703	2344.4760360758532	4.859497147686457E-5	-40861.19772497535	0.0	-2177.0599639905613
45000	-43034.735127096385	-2181.3428206778804	-40853.39230641851	2106.298982419409	21276.50221857613	2257.3220304685483	4.859497147686457E-5	-40853.39230641851	0.0	-2169.45226984835
46000	-43035.37935038178	-2180.268798374461	-40855.11055200732	2079.8553137087856	21348.637898464476	2277.948346250369	4.859497147686457E-5	-40855.11055200732	0.0	-2168.364759008053
47000	-43040.550370787656	-2174.680218086725	-40865.87015270093	2092.643322026581	21145.473313856357	2206.625655122342	4.859497147686457E-5	-40865.87015270093	0.0	-2162.823328381957
48000	-43038.875685919455	-2182.3812964227686	-40856.494389496685	2047.4460288129899	21273.767614429376	2113.592900361133	4.859497147686457E-5	-40856.494389496685	0.0	-2170.588151774044
49000	-43036.30064788856	-2176.4484567704053	-40859.85219111815	2048.377089044376	21000.330901929923	2110.5256843141797	4.859497147686457E-5	-40859.85219111815	0.0	-2164.6574592054562
50000	-43039.08421506641	-2177.5147656349645	-40861.569449431445	2214.034457927053	21776.14290628657	2157.153233072833	4.859497147686457E-5	-40861.569449431445	0.0	-2165.6914462355603
51000	-43033.29037796874	-2174.239177507215	-40859.05120046152	2036.2410474747574	21172.42033712925	2186.7162338209578	4.859497147686457E-5	-40859.05120046152	0.0	-2162.395710123304
52000	-43042.28467132708	-2177.5876643610263	-40864.69700696605	1992.5530796275725	21140.469071013038	2565.0119021162436	4.859497147686457E-5	-40864.69700696605	0.0	-2165.5071481025097
53000	-43036.720435195115	-2176.4523168123787	-40860.26811838274	1937.469123110724	21023.882714229927	2145.5329888774418	4.859497147686457E-5	-40860.26811838274	0.0	-2164.636989412122
54000	-43022.2560916539	-2176.687682629904	-40845.568409023996	1959.0809224471948	21043.73675935867	2153.6827231071006	4.859497147686457E-5	-40845.568409023996	0.0	-2164.8667457993583
55000	-43018.26288210514	-2171.2033235190897	-40847.05955858605	2144.127141451684	21179.68620888103	2029.6544462933061	4.859497147686457E-5	-40847.05955858605	0.0	-2159.4700422692217
56000	-43038.063741702186	-2178.877294570902	-40859.18644713129	2032.316271060652	21282.578697238914	2093.1499274828184	4.859497147686457E-5	-40859.18644713129	0.0	-2167.098516927808
57000	-43024.34265014365	-2178.5175059179883	-40845.82514422566	2079.2509610785087	21302.84627905549	1984.1019335054664	4.859497147686457E-5	-40845.82514422566	0.0	-2166.8177120031078
58000	-43022.01636982207	-2181.701865501931	-40840.31450432014	2106.396075762242	21632.277676036047	2351.240183154714	4.859497147686457E-5	-40840.31450432014	0.0	-2169.750825545009
59000	-43024.52605189479	-2177.5197367456926	-40847.0063151491	2130.468582632633	21260.252962417206	2111.3787634037526	4.859497147686457E-5	-40847.0063151491	0.0	-2165.7281417164863
60000	-43029.60748655923	-2177.9327925571706	-40851.67469400206	2027.3044946908385	21215.09201539612	2308.5798640741755	4.859497147686457E-5	-40851.67469400206	0.0	-2166.008936108029
