state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	treeLikelihood	branchRates	coalescent
1000	-47293.07679266465	-2405.045942792636	-44888.03084987201	2050.2047681632616	26433.91878389822	5377.104675754019	3.888419273034658E-5	-44888.03084987201	0.0	-2391.844977247571
2000	-44530.46763015313	-2360.709366271654	-42169.75826388148	2087.2035906857454	26163.603498827004	4863.507645283177	3.888419273034658E-5	-42169.75826388148	0.0	-2347.66237230074
3000	-43307.33069935554	-2314.239744911127	-40993.09095444441	2462.045626579958	26523.641361794445	3721.7402891412967	3.888419273034658E-5	-40993.09095444441	0.0	-2301.6000526455373
4000	-42618.49629347407	-2276.5175196971018	-40341.978773776966	2563.0290012376777	26454.764977892533	3199.978257015962	3.888419273034658E-5	-40341.978773776966	0.0	-2264.1057807769694
5000	-42128.413875216596	-2238.395560922884	-39890.01831429371	2509.6228579119243	25639.30982175335	2585.09508979971	3.888419273034658E-5	-39890.01831429371	0.0	-2226.303417257501
6000	-41882.755944586344	-2227.2071524966973	-39655.54879208965	2804.019922864531	27239.23902862592	2924.3267360987293	3.888419273034658E-5	-39655.54879208965	0.0	-2214.930678769612
7000	-41767.42515984636	-2207.013621798618	-39560.411538047745	2657.3167256974853	25997.458383940586	2544.5055767575564	3.888419273034658E-5	-39560.411538047745	0.0	-2194.9450682746683
8000	-41710.4554985263	-2201.1740858192925	-39509.28141270701	2809.6024136219135	26492.252925323835	2344.962105113549	3.888419273034658E-5	-39509.28141270701	0.0	-2189.227016511437
9000	-41649.910601894175	-2198.9261597381997	-39450.984442155976	2736.674209402424	26416.625052479038	2291.3568004693834	3.888419273034658E-5	-39450.984442155976	0.0	-2187.0134145432917
10000	-41586.166239586186	-2186.8128419984832	-39399.3533975877	2833.0503443915295	26442.376137066814	2164.14643377818	3.888419273034658E-5	-39399.3533975877	0.0	-2174.9847327701073
11000	-41564.602452611616	-2181.090916893604	-39383.51153571801	2714.405923629693	26097.6452402731	2292.5577228008847	3.888419273034658E-5	-39383.51153571801	0.0	-2169.177394347599
12000	-41534.87691837537	-2175.5861587692634	-39359.290759606105	2849.5664694269567	26313.89347143106	2309.781172656072	3.888419273034658E-5	-39359.290759606105	0.0	-2163.6615302754026
13000	-41537.62451710368	-2181.338556823931	-39356.28596027975	2833.1490458313556	27122.29008269738	2286.3579354923936	3.888419273034658E-5	-39356.28596027975	0.0	-2169.4290515683365
14000	-41506.03458911223	-2167.156057828833	-39338.87853128339	2912.7595917293183	26240.83682689641	2246.132596254217	3.888419273034658E-5	-39338.87853128339	0.0	-2155.2728737819007
15000	-41518.93508448938	-2178.0056584797812	-39340.9294260096	2891.2918285136357	27063.353380396413	2213.771409391261	3.888419273034658E-5	-39340.9294260096	0.0	-2166.143979598347
16000	-41511.049046093074	-2170.3440768186515	-39340.704969274426	2897.766086513006	27277.776076268183	2175.357131894486	3.888419273034658E-5	-39340.704969274426	0.0	-2158.508319928851
