state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	treeLikelihood	branchRates	coalescent
1000	-45087.3819828152	-2373.3222242892366	-42714.05975852596	2793.9601350402518	24296.918243846616	4845.0249107457275	4.7417791980208225E-5	-42714.05975852596	0.0	-2360.281057648119
2000	-42831.24038234933	-2266.784051752392	-40564.456330596935	4034.716219263667	23636.978521833982	2996.065012525527	4.7417791980208225E-5	-40564.456330596935	0.0	-2254.4712354932567
3000	-42156.18051830549	-2210.1433263771664	-39946.03719192832	4130.223422571898	22456.32366835306	2423.258055563409	4.7417791980208225E-5	-39946.03719192832	0.0	-2198.147450419643
4000	-41698.748257937485	-2193.4900958773505	-39505.258162060134	4303.705364484692	23511.33036566684	2329.858796896629	4.7417791980208225E-5	-39505.258162060134	0.0	-2181.5526207184985
5000	-41340.52332579627	-2166.809279202713	-39173.71404659356	4519.597525687783	23703.1692651921	1883.855488131394	4.7417791980208225E-5	-39173.71404659356	0.0	-2155.1858510788907
6000	-41269.20176292791	-2154.264858718646	-39114.93690420926	4375.818946602598	23185.337249193188	2194.239684004421	4.7417791980208225E-5	-39114.93690420926	0.0	-2142.4163055495455
7000	-41157.510692919765	-2149.999797150705	-39007.51089576906	4371.2835708199555	22502.881857217355	2252.108502130676	4.7417791980208225E-5	-39007.51089576906	0.0	-2138.1126743872055
8000	-41089.29616555091	-2144.6231377675063	-38944.67302778341	4208.291273946546	22663.95816820945	1945.5642775163642	4.7417791980208225E-5	-38944.67302778341	0.0	-2132.9522542944474
9000	-41057.64833259328	-2137.7322868120027	-38919.916045781276	4235.766278969076	22292.09366202962	1752.4934818096747	4.7417791980208225E-5	-38919.916045781276	0.0	-2126.215043479039
10000	-41057.34794724119	-2145.0504008291914	-38912.297546412	4264.926601377687	22787.128817682853	2100.162765711033	4.7417791980208225E-5	-38912.297546412	0.0	-2133.2666795874857
11000	-41014.905203872826	-2131.968933370921	-38882.93627050191	4206.2173962200195	22416.71756877866	1721.4739348059065	4.7417791980208225E-5	-38882.93627050191	0.0	-2120.477875291552
12000	-41037.93273063634	-2135.900936080116	-38902.03179455623	4093.956806160544	22245.752104318548	1943.4541259646337	4.7417791980208225E-5	-38902.03179455623	0.0	-2124.2316514073777
13000	-41004.65682746781	-2123.031086359305	-38881.6257411085	4376.634969050929	22440.902599657507	1846.23840432467	4.7417791980208225E-5	-38881.6257411085	0.0	-2111.437322276206
14000	-41003.41722459561	-2127.4444177565297	-38875.972806839076	4462.75749151595	22683.324223364285	1862.8443360287386	4.7417791980208225E-5	-38875.972806839076	0.0	-2115.8374879012
15000	-41008.75849417192	-2132.412455654045	-38876.34603851787	4258.910104753733	22809.056263246363	1821.673285902916	4.7417791980208225E-5	-38876.34603851787	0.0	-2120.838377089339
16000	-41004.04574321188	-2124.4079311320374	-38879.63781207984	4350.698344897985	22579.34089030406	1872.7312774022316	4.7417791980208225E-5	-38879.63781207984	0.0	-2112.7932158281033
17000	-41010.67377388943	-2134.186485742239	-38876.48728814719	4425.869364329963	23012.111277035045	1863.70788745881	4.7417791980208225E-5	-38876.48728814719	0.0	-2122.5788743103694
18000	-40997.04265229656	-2131.5900599424153	-38865.452592354144	4403.667259786525	22863.477438938124	1781.3185624640407	4.7417791980208225E-5	-38865.452592354144	0.0	-2120.0488785775087
19000	-40996.152855637614	-2133.6583874527396	-38862.49446818487	4187.789308763581	22507.170439379646	1724.1564636339892	4.7417791980208225E-5	-38862.49446818487	0.0	-2122.165047138115
20000	-40979.61553116452	-2128.0737275379884	-38851.54180362653	4354.695312359241	22702.52588092436	1835.634946018098	4.7417791980208225E-5	-38851.54180362653	0.0	-2116.4884296984965
21000	-40980.505982127266	-2119.933787908186	-38860.57219421908	4095.9630183505246	21846.60165524851	1797.0206615580987	4.7417791980208225E-5	-38860.57219421908	0.0	-2108.3797221869504
22000	-40992.765980029064	-2128.6478277196666	-38864.1181523094	4261.381546155975	22452.53376228119	1850.8860568973685	4.7417791980208225E-5	-38864.1181523094	0.0	-2117.050367422845
23000	-40989.53616011027	-2127.6924201859824	-38861.84373992429	4268.799946100684	22485.828787138074	1809.6558444632133	4.7417791980208225E-5	-38861.84373992429	0.0	-2116.1280646932014
24000	-40978.87497216608	-2127.499893483301	-38851.37507868278	4257.568820444365	22561.553447929182	1843.8316142189037	4.7417791980208225E-5	-38851.37507868278	0.0	-2115.908046989866
25000	-40963.999207244386	-2117.3899757518675	-38846.60923149252	4103.848627336918	21898.526363025732	1689.1089402976297	4.7417791980208225E-5	-38846.60923149252	0.0	-2105.92672468829
26000	-40969.18840938768	-2130.7570639995533	-38838.431345388126	4189.172828325252	22552.46256696232	1907.024088131507	4.7417791980208225E-5	-38838.431345388126	0.0	-2119.1156465756912
27000	-40960.05075353661	-2131.1575410845207	-38828.893212452094	4160.9788266407395	22601.125783602907	1827.4304148292613	4.7417791980208225E-5	-38828.893212452094	0.0	-2119.5788262797805
28000	-40981.239927475435	-2135.380571018985	-38845.85935645645	4291.219523510421	23008.0701014645	1895.8328956115063	4.7417791980208225E-5	-38845.85935645645	0.0	-2123.747816730965
29000	-40991.17825308432	-2124.2617579379285	-38866.91649514639	4140.681045197157	22309.633103100805	1810.0321732153056	4.7417791980208225E-5	-38866.91649514639	0.0	-2112.6970970286147
30000	-40996.36180963053	-2128.382752015903	-38867.979057614626	4257.421573373254	22816.380800714192	2017.740179050644	4.7417791980208225E-5	-38867.979057614626	0.0	-2116.6581593356077
31000	-40971.41498868838	-2131.1206757258906	-38840.29431296249	4327.315404702436	23080.896542651062	1576.639859010388	4.7417791980208225E-5	-38840.29431296249	0.0	-2119.758187803336
32000	-40969.09986376331	-2126.682350759023	-38842.417513004286	4232.234811322107	22908.57278413118	1846.986459393318	4.7417791980208225E-5	-38842.417513004286	0.0	-2115.0879911569323
33000	-40954.64000452266	-2116.913606720829	-38837.72639780183	4335.75629277629	22614.95559873522	1745.2786930817363	4.7417791980208225E-5	-38837.72639780183	0.0	-2105.4024139447174
34000	-40975.96590717375	-2118.024115659175	-38857.941791514575	4193.748320852615	22146.046431009396	1746.822565287909	4.7417791980208225E-5	-38857.941791514575	0.0	-2106.5116261302865
35000	-40984.82782403607	-2133.335289319167	-38851.4925347169	4191.247201559159	22897.887892424624	1720.8036076914386	4.7417791980208225E-5	-38851.4925347169	0.0	-2121.844802070731
36000	-40969.41626327326	-2126.0262210921987	-38843.39004218106	4352.237157256435	23017.65539320512	1800.9784506320873	4.7417791980208225E-5	-38843.39004218106	0.0	-2114.4689248172917
37000	-40973.15784397167	-2131.100870195365	-38842.05697377631	4460.547503446628	23217.5575026366	1547.4099360526636	4.7417791980208225E-5	-38842.05697377631	0.0	-2119.7656964425732
38000	-40968.092814377	-2127.1536598221674	-38840.939154554835	4342.44354289972	22836.18337558217	1668.1009076980738	4.7417791980208225E-5	-38840.939154554835	0.0	-2115.7087325411667
39000	-40986.5398214428	-2133.920024504926	-38852.61979693787	4503.041111548434	23266.512714600507	2011.020744013984	4.7417791980208225E-5	-38852.61979693787	0.0	-2122.2003537166556
40000	-40962.800395063874	-2125.88080585294	-38836.919589210935	4135.725607976519	22406.852756267446	1650.8354247311702	4.7417791980208225E-5	-38836.919589210935	0.0	-2114.45110414986
41000	-40966.78696166047	-2120.0087387308577	-38846.77822292961	4069.7535058865174	21998.084541112854	1827.324333281447	4.7417791980208225E-5	-38846.77822292961	0.0	-2108.43010922749
42000	-40989.829503445944	-2128.9402251787237	-38860.88927826722	4379.444536116003	22965.403068396976	1748.4055087300667	4.7417791980208225E-5	-38860.88927826722	0.0	-2117.4264072185047
43000	-40958.88356019933	-2121.140725275583	-38837.742834923745	4191.371858548353	22123.675300342325	1867.5356477330502	4.7417791980208225E-5	-38837.742834923745	0.0	-2109.5300963378145
44000	-40970.839845525974	-2126.835705582008	-38844.004139943965	4129.859380365985	22162.721155817537	1600.9765931164595	4.7417791980208225E-5	-38844.004139943965	0.0	-2115.450843267818
45000	-40959.43264950899	-2117.1738699406624	-38842.25877956833	4154.54844760545	22172.987782015498	1638.910779579339	4.7417791980208225E-5	-38842.25877956833	0.0	-2105.75477325227
46000	-40963.591090138136	-2126.8248438134688	-38836.76624632467	4303.309785101695	22911.10104699182	1709.1405203327151	4.7417791980208225E-5	-38836.76624632467	0.0	-2115.3443227320927
47000	-40967.41906221998	-2123.7859161530864	-38843.633146066895	4032.639393879662	22028.719324903217	1627.2905405623414	4.7417791980208225E-5	-38843.633146066895	0.0	-2112.3772250604743
48000	-40963.51785681968	-2127.830061480263	-38835.687795339414	4399.434852834293	22946.007015916188	1756.7770658954637	4.7417791980208225E-5	-38835.687795339414	0.0	-2116.30923706707
