state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	treeLikelihood	branchRates	coalescent
1000	-49258.782436673	-2321.609344136282	-46937.173092536716	580.4632708963226	16086.656827209315	3878.963526378653	6.212018906144497E-5	-46937.173092536716	0.0	-2308.9069594969487
2000	-47467.629030759446	-2277.097342784404	-45190.53168797504	864.5964953129603	16472.416261541697	3272.2971021337266	6.212018906144497E-5	-45190.53168797504	0.0	-2264.651966925872
3000	-46505.24252060621	-2240.0095964688176	-44265.232924137395	891.8811347393685	15853.43427082026	2911.687900946505	6.212018906144497E-5	-44265.232924137395	0.0	-2227.7396139593343
4000	-46049.562701146635	-2234.285718797643	-43815.276982348994	932.714441635914	16414.25269399433	2630.113232347922	6.212018906144497E-5	-43815.276982348994	0.0	-2222.1678226512995
5000	-45831.427125315786	-2213.5212850074113	-43617.905840308376	889.0240540327067	15772.874413010515	2406.231897151398	6.212018906144497E-5	-43617.905840308376	0.0	-2201.535892630974
6000	-45766.25670376427	-2215.219525426029	-43551.03717833824	994.1177961934412	16516.50192921341	2721.9920450348254	6.212018906144497E-5	-43551.03717833824	0.0	-2203.0503555372006
7000	-45669.18758961171	-2202.610415024531	-43466.57717458718	960.7601321511172	16069.967697739248	2533.3020951642375	6.212018906144497E-5	-43466.57717458718	0.0	-2190.548436327876
8000	-45636.12950291746	-2202.7563420580286	-43433.37316085943	1046.232647621143	16435.574325483758	2452.64774600124	6.212018906144497E-5	-43433.37316085943	0.0	-2190.742534800142
9000	-45603.46686586271	-2195.056802076543	-43408.41006378617	1002.4101669267618	16154.767434224937	2241.3552340377387	6.212018906144497E-5	-43408.41006378617	0.0	-2183.176774012825
10000	-45575.41566461691	-2198.9580714278572	-43376.45759318905	994.914068312032	16149.009657322651	2240.533092249474	6.212018906144497E-5	-43376.45759318905	0.0	-2187.0785871306734
11000	-45558.46971934657	-2198.1021580198135	-43360.367561326755	973.9449064449109	16392.884363491863	2170.915060855008	6.212018906144497E-5	-43360.367561326755	0.0	-2186.2694268758173
12000	-45513.86603227696	-2195.1009706905593	-43318.7650615864	1047.8787814194172	16401.071360097263	2491.0141327931833	6.212018906144497E-5	-43318.7650615864	0.0	-2183.0640625152328
13000	-45515.29841103501	-2196.0075963333757	-43319.290814701635	1033.4669897087101	16631.92076229053	2458.7588507417663	6.212018906144497E-5	-43319.290814701635	0.0	-2183.9900864177957
14000	-45484.81838758565	-2185.038523107502	-43299.77986447814	1048.4793964113928	16158.178370801079	2294.075768535999	6.212018906144497E-5	-43299.77986447814	0.0	-2173.1240184959433
15000	-45494.955916842286	-2190.263611791571	-43304.69230505072	1057.870636424533	16684.758448904635	2360.5767139318027	6.212018906144497E-5	-43304.69230505072	0.0	-2178.306685571481
16000	-45472.79602513562	-2185.6307397086002	-43287.16528542702	988.5178527664664	16122.50605725696	2380.283056857238	6.212018906144497E-5	-43287.16528542702	0.0	-2173.661462390529
17000	-45478.90417344028	-2183.3979403241824	-43295.506233116095	1034.2238349881413	16214.895977222717	2301.487148550423	6.212018906144497E-5	-43295.506233116095	0.0	-2171.4786500073847
18000	-45482.74114537363	-2184.5895848261075	-43298.15156054752	1053.603998277077	16322.536311809532	2279.6974251766774	6.212018906144497E-5	-43298.15156054752	0.0	-2172.6844070397606
19000	-45458.17599957394	-2183.68622761689	-43274.48977195705	995.5608102824064	16152.040397321007	2133.6564929650744	6.212018906144497E-5	-43274.48977195705	0.0	-2171.879111409347
20000	-45453.86672628603	-2183.8993912805486	-43269.96733500549	1046.7632813915666	16323.681505588855	2266.4739526168914	6.212018906144497E-5	-43269.96733500549	0.0	-2172.002841061644
21000	-45450.122928294644	-2175.750488123033	-43274.37244017161	1030.0622664931045	15864.624383799475	2182.470989361457	6.212018906144497E-5	-43274.37244017161	0.0	-2163.909897887843
22000	-45442.2352808655	-2176.270194607711	-43265.965086257784	1040.625814002815	16025.953335402266	2295.9982083408163	6.212018906144497E-5	-43265.965086257784	0.0	-2164.354447209865
23000	-45448.54121235521	-2179.8583287262354	-43268.68288362897	1045.506444186759	16183.389832770246	2254.220928274221	6.212018906144497E-5	-43268.68288362897	0.0	-2167.9698160581397
24000	-45434.35277033816	-2177.655064832186	-43256.697705505976	1046.740352445674	16043.637374545098	2278.0127266507734	6.212018906144497E-5	-43256.697705505976	0.0	-2165.7509835477795
25000	-45437.22917896908	-2166.7956603125763	-43270.4335186565	1032.6863401083133	15697.495266108273	2058.6380654606164	6.212018906144497E-5	-43270.4335186565	0.0	-2155.0414448001156
26000	-45430.83056206116	-2172.191955666691	-43258.63860639447	1052.77160820936	15990.230698962223	2320.4289634935653	6.212018906144497E-5	-43258.63860639447	0.0	-2160.260500923617
27000	-45440.75576582945	-2174.34864856741	-43266.407117262046	1058.9570795642464	16146.21816322032	1946.7361951917646	6.212018906144497E-5	-43266.407117262046	0.0	-2162.6768778835158
28000	-45446.603867601465	-2178.716833189165	-43267.8870344123	1113.2872430600833	16550.956688253475	2359.6526579821875	6.212018906144497E-5	-43267.8870344123	0.0	-2166.760488549502
29000	-45462.694206657434	-2168.916130435366	-43293.778076222065	1044.499391603767	16056.600425408331	2136.938670746412	6.212018906144497E-5	-43293.778076222065	0.0	-2157.1067406214356
30000	-45452.22238474111	-2174.148153041362	-43278.07423169975	1087.6334907845642	16268.573216538998	2423.0669855905226	6.212018906144497E-5	-43278.07423169975	0.0	-2162.1523943400875
31000	-45443.02589999289	-2179.776216297268	-43263.24968369563	1124.7991282833634	16775.232740796542	2034.9135010815273	6.212018906144497E-5	-43263.24968369563	0.0	-2168.039115369659
32000	-45429.14503261407	-2178.718889399743	-43250.426143214325	1100.685826734245	16738.396044178917	2436.2477402569434	6.212018906144497E-5	-43250.426143214325	0.0	-2166.715062599907
33000	-45415.799642380225	-2164.370245180298	-43251.42939719993	1082.5136833921174	15954.172817379742	1808.6238249386827	6.212018906144497E-5	-43251.42939719993	0.0	-2152.806727554123
34000	-45423.17391611082	-2171.4003393679895	-43251.77357674283	1084.552559871826	16374.284247783306	2171.819323275827	6.212018906144497E-5	-43251.77357674283	0.0	-2159.5669917993273
35000	-45424.78049735101	-2178.479077793031	-43246.301419557974	1046.5248877963522	16570.308550573838	2065.9833358309425	6.212018906144497E-5	-43246.301419557974	0.0	-2166.7196017815913
36000	-45418.8685378354	-2176.377467912799	-43242.4910699226	1097.932960647688	16615.04299995262	1995.9885312869055	6.212018906144497E-5	-43242.4910699226	0.0	-2164.668865281563
37000	-45430.94681963484	-2172.9057657024955	-43258.04105393234	1132.539815106209	16469.02686665595	1861.6007072639752	6.212018906144497E-5	-43258.04105393234	0.0	-2161.299817939665
38000	-45413.199989288325	-2165.0824315856935	-43248.11755770263	1098.7295792294058	16126.621657138188	2006.7971370792134	6.212018906144497E-5	-43248.11755770263	0.0	-2153.365862597479
39000	-45430.62652831481	-2171.482138884231	-43259.14438943058	1113.3319941482432	16409.15061473703	2281.541048252067	6.212018906144497E-5	-43259.14438943058	0.0	-2159.5757620474988
40000	-45416.70358296622	-2169.82327346643	-43246.88030949979	1053.9912893054238	16252.769565305474	2111.434959863091	6.212018906144497E-5	-43246.88030949979	0.0	-2158.0316390874705
41000	-45419.420180505316	-2174.9089471061957	-43244.51123339912	1075.4348722799623	16696.872339639165	2355.138542205074	6.212018906144497E-5	-43244.51123339912	0.0	-2162.9554466912105
42000	-45407.662539921206	-2169.4356213523824	-43238.22691856882	1059.6558269756638	16369.955925527034	2140.8804134254606	6.212018906144497E-5	-43238.22691856882	0.0	-2157.6235054591316
43000	-45415.251702374066	-2171.3980273667307	-43243.85367500733	1147.6593463067263	16694.0660532022	2184.7187534684563	6.212018906144497E-5	-43243.85367500733	0.0	-2159.555913077181
44000	-45406.79740599694	-2168.366256807776	-43238.431149189164	1097.6421605033775	16366.676761627896	1872.8871875036546	6.212018906144497E-5	-43238.431149189164	0.0	-2156.7514190482766
45000	-45381.09874322199	-2158.6732459238706	-43222.42549729812	1101.6934147641698	16116.746119043299	1917.264133487858	6.212018906144497E-5	-43222.42549729812	0.0	-2147.023944194677
46000	-45411.474750328176	-2169.753555603404	-43241.72119472477	1089.7383817318973	16514.466133910344	2058.50556416207	6.212018906144497E-5	-43241.72119472477	0.0	-2157.999435150018
47000	-45408.76219673107	-2171.377787576039	-43237.384409155035	1056.0884392944602	16332.374547750527	2098.291132757252	6.212018906144497E-5	-43237.384409155035	0.0	-2159.5953841664077
48000	-45407.70651478656	-2168.862851765652	-43238.8436630209	1073.3863549651774	16243.733224751002	1991.395013868637	6.212018906144497E-5	-43238.8436630209	0.0	-2157.15764724902
49000	-45397.204305375126	-2169.61450084262	-43227.58980453251	1062.7134334862562	16186.032324973974	2288.90658050438	6.212018906144497E-5	-43227.58980453251	0.0	-2157.7033428741115
50000	-45413.22719651131	-2167.6383739838448	-43245.58882252747	1108.6271833396365	16622.004553631312	2081.878175685364	6.212018906144497E-5	-43245.58882252747	0.0	-2155.8675755341487
51000	-45408.782717011505	-2164.9366893130486	-43243.846027698455	1099.6258803689136	16326.411219945452	2040.5831797524058	6.212018906144497E-5	-43243.846027698455	0.0	-2153.1954810447332
52000	-45417.86171943473	-2167.519831509644	-43250.34188792509	1137.2047302891963	16514.350548552567	2433.488810192384	6.212018906144497E-5	-43250.34188792509	0.0	-2155.5176900179417
53000	-45407.04503456002	-2167.5130525735713	-43239.531981986445	1115.991624704938	16547.749969749864	2098.4186534791584	6.212018906144497E-5	-43239.531981986445	0.0	-2155.730559339825
54000	-45397.419977509526	-2163.9472667395316	-43233.472710769995	1092.3787272481322	16220.898981085518	2000.3427910063929	6.212018906144497E-5	-43233.472710769995	0.0	-2152.2354498946424
55000	-45386.08564094642	-2166.8353013904452	-43219.25033955597	1134.8551629963868	16324.482589868776	1898.2418607309285	6.212018906144497E-5	-43219.25033955597	0.0	-2155.200678187121
56000	-45390.53900739202	-2171.077532556515	-43219.46147483551	1086.5480092802673	16568.104548296036	2033.272897508717	6.212018906144497E-5	-43219.46147483551	0.0	-2159.341622191914
57000	-45392.7581590051	-2171.502172187014	-43221.25598681808	1081.0392336701768	16465.877376988905	2001.1059175603662	6.212018906144497E-5	-43221.25598681808	0.0	-2159.7897927099
58000	-45413.0766396986	-2174.0702373562567	-43239.00640234234	1131.487629267094	16625.121423904224	2337.2633961929046	6.212018906144497E-5	-43239.00640234234	0.0	-2162.1280511167993
59000	-45400.77571381675	-2169.460652119292	-43231.31506169746	1111.866631272218	16314.698041743928	2017.350178243415	6.212018906144497E-5	-43231.31506169746	0.0	-2157.7363446797413
60000	-45400.87724563473	-2167.315540565581	-43233.56170506915	1091.5931086539526	16243.73880355069	2217.82594173966	6.212018906144497E-5	-43233.56170506915	0.0	-2155.451150864249
61000	-45401.75450050812	-2167.262700193209	-43234.49180031491	1158.2594652844398	16276.921203058697	2006.4735658130098	6.212018906144497E-5	-43234.49180031491	0.0	-2155.5463690921883
62000	-45406.824112754584	-2174.0457373362124	-43232.77837541837	1090.0273826964053	16374.240403763668	2236.9907120968014	6.212018906144497E-5	-43232.77837541837	0.0	-2162.16859816558
63000	-45401.44505866401	-2168.8501980617625	-43232.59486060224	1097.676133634511	16185.625306904323	2017.6659122169456	6.212018906144497E-5	-43232.59486060224	0.0	-2157.125659695046
64000	-45415.53533058689	-2170.532667582155	-43245.002663004736	1156.8093058604502	16544.91322288781	2148.0852623174205	6.212018906144497E-5	-43245.002663004736	0.0	-2158.7155812704445
65000	-45393.631265593336	-2161.7645270438393	-43231.8667385495	1110.263328039453	16121.350216736062	1979.5023847444281	6.212018906144497E-5	-43231.8667385495	0.0	-2150.0681552511005
66000	-45392.86617647417	-2164.947700516217	-43227.91847595795	1139.383763686042	16421.92476349848	1999.873283207739	6.212018906144497E-5	-43227.91847595795	0.0	-2153.23622992866
67000	-45386.48500004878	-2150.4410632581285	-43236.04393679065	1052.9445489551363	15556.323475469559	1919.9585543150922	6.212018906144497E-5	-43236.04393679065	0.0	-2138.7896936651123
68000	-45406.413235931075	-2161.081589942377	-43245.3316459887	1136.5760706878273	16499.306108568107	1991.8015549810104	6.212018906144497E-5	-43245.3316459887	0.0	-2149.376084379036
69000	-45397.71971739177	-2169.254756115648	-43228.46496127612	1101.2093414328838	16429.526040016557	2211.8414475587556	6.212018906144497E-5	-43228.46496127612	0.0	-2157.394369258395
70000	-45408.04824001651	-2161.207235627721	-43246.84100438879	1124.2302882341196	16193.8485752275	2086.60865361513	6.212018906144497E-5	-43246.84100438879	0.0	-2149.433083480049
71000	-45387.62044386696	-2160.3216354356014	-43227.298808431355	1085.8903361495502	16081.929434854486	2004.080446642468	6.212018906144497E-5	-43227.298808431355	0.0	-2148.6070648795126
72000	-45387.59052365191	-2158.3933696885547	-43229.19715396335	1070.3263696748008	16018.295376777884	1918.5112145746348	6.212018906144497E-5	-43229.19715396335	0.0	-2146.7431105271503
73000	-45388.564362023186	-2160.663597818261	-43227.900764204926	1132.561957607264	16201.96924272934	2176.6675248283573	6.212018906144497E-5	-43227.900764204926	0.0	-2148.826949476016
74000	-45385.89264029608	-2163.977408796247	-43221.91523149983	1145.4019185697734	16184.522385928813	2260.9622202964583	6.212018906144497E-5	-43221.91523149983	0.0	-2152.08446891561
75000	-45393.378639835486	-2171.5772354305773	-43221.80140440491	1102.2834176460083	16625.302349732014	2019.8847657459276	6.212018906144497E-5	-43221.80140440491	0.0	-2159.8510751745175
76000	-45385.06417576531	-2162.4099408722172	-43222.65423489309	1154.1108219959997	16344.412795176333	1991.7988736775606	6.212018906144497E-5	-43222.65423489309	0.0	-2150.7044372942087
77000	-45382.128887482766	-2161.924846494213	-43220.20404098855	1080.245126134362	16074.551284393805	2047.1161070412968	6.212018906144497E-5	-43220.20404098855	0.0	-2150.1789190434915
78000	-45375.448446447044	-2163.2147672407245	-43212.23367920632	1121.4421192607188	16241.139065275254	2045.9774888890734	6.212018906144497E-5	-43212.23367920632	0.0	-2151.469661253397
79000	-45383.00595904606	-2164.201628999864	-43218.804330046194	1091.5982190132902	16221.582134894996	2302.547147410045	6.212018906144497E-5	-43218.804330046194	0.0	-2152.2816554234178
80000	-45388.16172991099	-2168.2745236119904	-43219.887206299005	1109.0250311747418	16354.514097253164	2127.5808444305035	6.212018906144497E-5	-43219.887206299005	0.0	-2156.4716249369826
81000	-45392.75823073741	-2165.244563551742	-43227.51366718567	1092.1765137056325	16225.916144148196	1934.0535945396332	6.212018906144497E-5	-43227.51366718567	0.0	-2153.582421645526
82000	-45389.26950942737	-2152.8429604660637	-43236.42654896131	1079.4183472285247	15731.489642748109	2080.0523463779828	6.212018906144497E-5	-43236.42654896131	0.0	-2141.073458400317
83000	-45381.55093800661	-2162.4647576045777	-43219.08618040203	1125.219957091084	16399.526084294637	2133.9356351137008	6.212018906144497E-5	-43219.08618040203	0.0	-2150.657447901429
84000	-45369.08354906783	-2156.206771776505	-43212.87677729133	1148.3685275171567	16148.487496184465	2153.746492804036	6.212018906144497E-5	-43212.87677729133	0.0	-2144.3857911337377
85000	-45390.18072338068	-2169.519329997604	-43220.66139338308	1166.2265970616743	16788.41766591255	2083.9567558650315	6.212018906144497E-5	-43220.66139338308	0.0	-2157.747057029308
86000	-45373.0590365483	-2165.786954007802	-43207.2720825405	1115.6532512387785	16541.299555354533	2013.6226105002238	6.212018906144497E-5	-43207.2720825405	0.0	-2154.0653755229896
87000	-45368.01210730747	-2160.584789633728	-43207.42731767374	1103.6604133883131	16249.655282293399	1971.4660323218861	6.212018906144497E-5	-43207.42731767374	0.0	-2148.894415304046
88000	-45369.86714001292	-2166.309314208438	-43203.55782580448	1114.6513853713914	16457.16180577167	1988.2795230764623	6.212018906144497E-5	-43203.55782580448	0.0	-2154.606418691461
89000	-45377.179379488494	-2158.309846856819	-43218.869532631674	1099.0497423566121	16073.947894683779	1979.1949021589196	6.212018906144497E-5	-43218.869532631674	0.0	-2146.6137041064435
90000	-45399.263417187016	-2164.727990517882	-43234.535426669136	1107.2678363782722	16415.6313611621	2154.6603203612594	6.212018906144497E-5	-43234.535426669136	0.0	-2152.906382177054
91000	-45369.79977561146	-2159.0959162996974	-43210.70385931176	1108.2843752660688	16247.407029311416	1979.0370332508392	6.212018906144497E-5	-43210.70385931176	0.0	-2147.3998911583835
92000	-45382.61563908449	-2154.1771484233236	-43228.43849066117	1102.0428316490804	15986.649897697062	2188.1802430047405	6.212018906144497E-5	-43228.43849066117	0.0	-2142.33269007032
93000	-45390.675687040326	-2154.917938091162	-43235.75774894917	1130.798792227398	16439.34693720547	1990.0347016710236	6.212018906144497E-5	-43235.75774894917	0.0	-2143.2137413239097
