state	joint	prior	likelihood	treeModel.rootHeight	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	clock.rate	treeLikelihood	branchRates	skyline
8000	-82166.94600591352	-2410.335175692643	-79756.61083022087	2433.3574869624954	21460.760812415923	3507.5462671905316	1467.2145228290083	3159.3029827869354	3672.831352772482	2921.6307331192797	1648.939672294853	2625.5850154798386	2572.585109911468	1610.75671639379	1098.012613178196	4.797163416414642E-5	-79756.61083022087	0.0	-2204.024786221381
16000	-81645.17249697064	-2374.5058223443725	-79270.66667462626	2464.5634502189137	21276.56757381416	2654.768141874536	1409.6366899751495	1968.5298513560565	1703.9428919393363	2936.324054483043	3621.619558018019	4377.091096902829	1039.2759613865712	1900.3438001526936	1344.4143559524255	4.797163416414642E-5	-79270.66667462626	0.0	-2169.8804885828818
24000	-81570.8174779285	-2365.9182910288437	-79204.89918689965	2380.5599734695807	21287.138531991444	3656.619983553462	1284.2102547900936	1172.7894369004177	1407.6812044874684	3811.450230809838	2786.2789398641116	2420.4065490824896	2177.488032332376	1668.8395190981607	1249.1210548700442	4.797163416414642E-5	-79204.89918689965	0.0	-2162.7840002621238
32000	-81507.97172378108	-2357.9534804766754	-79150.01824330441	2443.0547741389655	21250.206232244804	4703.9280957886285	1005.1910805386973	1279.8925557770342	2023.711675306449	2730.4592827813162	3653.2180777309004	2038.0391142838696	2282.8217885960435	2049.207987860944	1623.5343968960544	4.797163416414642E-5	-79150.01824330441	0.0	-2153.063523135683
40000	-81499.2031040847	-2362.97705667538	-79136.22604740932	2434.1798287398415	21411.88515997206	3595.4006232316196	1432.3858186747932	1839.899745183119	1175.0838410191675	2414.7362142830375	2381.2818189512304	3513.936315601623	1582.0907300598215	1268.072315984341	1691.0481344044856	4.797163416414642E-5	-79136.22604740932	0.0	-2160.3574449144694
48000	-81440.25830803445	-2346.393549872804	-79093.86475816164	2494.183718389034	21303.784144200603	2932.440559682549	721.9267430435609	1661.6874132097782	1210.7657979618007	3143.501813415973	2465.822085203613	3325.877690445199	2130.805665557797	1896.5581266178642	1781.5512285126354	4.797163416414642E-5	-79093.86475816164	0.0	-2142.8723714836856
56000	-81397.81167033479	-2335.1561978102186	-79062.65547252457	2404.6454588151737	21094.50133938242	4066.131293346148	803.6093630770933	1975.4921339777757	1160.3533649069411	3814.1863419512215	2399.8758276737476	3012.553684565418	1769.0288278282242	1856.74965400488	1532.9782218633848	4.797163416414642E-5	-79062.65547252457	0.0	-2130.0671949595658
64000	-81424.59162200241	-2345.791116472066	-79078.80050553034	2548.909892603575	21861.265395246603	5143.205015302966	435.35550664383265	2098.7173763180785	1513.3711899708308	3599.85868014725	2531.360183099148	2721.406458638971	1780.2897003354917	1838.755301775717	1353.62844553257	4.797163416414642E-5	-79078.80050553034	0.0	-2139.6699733462647
72000	-81409.33621372408	-2330.645072502582	-79078.6911412215	2457.9025716748283	21135.110873973113	3579.9047873042596	845.163555604295	1114.443872386569	1668.2691744853416	2809.9270978935833	2748.2869190564197	2533.5306253528265	576.28460809543	2403.7670281545397	1801.3318464409401	4.797163416414642E-5	-79078.6911412215	0.0	-2128.203227519099
80000	-81385.88888182974	-2322.2825307969792	-79063.60635103277	2384.4478203448357	21259.9832973247	5096.431353137446	543.839604244772	1371.322095215202	1484.6995109300717	2035.928323736933	2102.34479260415	2274.8251602019377	659.5802451654746	2170.9548930364836	1920.4978507729809	4.797163416414642E-5	-79063.60635103277	0.0	-2121.128255607612
