state	joint	prior	likelihood	treeModel.rootHeight	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	clock.rate	treeLikelihood	branchRates	skyline
8000	-70829.93964670844	-2399.5002120000686	-68430.43943470837	1703.611101811848	18039.056745381644	3015.2405574184363	2195.1332439171933	4146.194004354305	4356.914048494948	2221.355686730973	1330.629545296698	1959.1391656189533	2374.230125963065	2613.659809751838	633.4361130822863	5.7029506570790976E-5	-68430.43943470837	0.0	-2193.5008497997687
16000	-70229.40777244649	-2357.909249435801	-67871.49852301068	1822.6859593006084	17749.78527100848	1583.5382836448898	2995.350711862643	1885.854333635209	2890.7236092744506	2183.437612423365	1901.3920927715867	3061.6680336876143	1316.8579208403962	1895.0440552793264	836.5964334185229	5.7029506570790976E-5	-67871.49852301068	0.0	-2155.489931025953
24000	-70088.07103313606	-2348.8053384861482	-67739.26569464992	1774.0576952357917	17609.941699191557	1870.431055776758	2478.9705837034944	1237.2255219546341	2395.4066231820866	2471.2810016591734	2102.7344665908736	2349.2726727409677	1360.425030640693	2216.5525923854734	792.2990267547129	5.7029506570790976E-5	-67739.26569464992	0.0	-2147.7733074161006
32000	-70032.07027067826	-2342.514864500505	-67689.55540617775	1820.8463907766227	17871.834734837506	2496.6143316067355	1222.8202548987472	1781.3885223872217	2528.773580431472	2163.7557153847456	3191.212881617513	1624.4526874819896	1823.3808670504352	2885.7574670013637	1049.185631036028	5.7029506570790976E-5	-67689.55540617775	0.0	-2139.6680954247963
40000	-70009.6047512352	-2340.498872658056	-67669.10587857715	1849.4302211637353	18133.836929449575	2246.1374116439647	1215.5628130041541	2802.2517925829707	1422.2699185190768	1933.131709946265	3776.9740943204642	2698.34441565164	856.7760291205011	1862.8990971849503	1230.5939631256442	5.7029506570790976E-5	-67669.10587857715	0.0	-2138.377198371649
48000	-69987.75348658602	-2343.958783049747	-67643.79470353627	1855.4526037433902	17900.871317375088	1672.7343300712957	1420.420307334458	2342.953316434468	1854.0673777451163	2373.1846391846275	2024.5364234924548	3587.6595322369553	1120.0869311924912	2536.4010998543768	1232.5275895003924	5.7029506570790976E-5	-67643.79470353627	0.0	-2141.4642074024537
56000	-69943.46701027571	-2327.2133329661265	-67616.25367730958	1772.1901386264572	17634.007644023848	2306.9984113586493	1027.248681922342	3894.23489368839	1213.334524311281	3120.0676464496255	2262.4347835721287	2991.0200985448255	1124.3728676386622	2450.7810641968595	838.4909533765929	5.7029506570790976E-5	-67616.25367730958	0.0	-2122.4845040853456
64000	-69966.03312654518	-2350.30938762017	-67615.72373892501	1818.9344307554727	17914.918228779545	3103.0153146999496	1197.933286878174	3461.073373977982	1578.0409974976294	3540.2335694697167	1924.5013114092833	2292.3890795530183	1412.2470544272667	2595.772760213427	905.4313198491768	5.7029506570790976E-5	-67615.72373892501	0.0	-2145.311027774811
72000	-69961.74221592714	-2337.239538051065	-67624.50267787607	1882.5651007778974	17861.520515845255	2073.7749707964877	1274.7478729135635	2256.058178510817	1239.0387218919013	2090.072218341966	2152.9866366827164	2540.93750243905	847.4926990610305	3510.9960474901263	1258.6908487823525	5.7029506570790976E-5	-67624.50267787607	0.0	-2134.8007112858854
80000	-69957.71086495569	-2344.185865395923	-67613.52499955977	1756.1587839594515	17880.978932290578	2792.4852448771535	1387.4923746575662	3289.1931297161336	2780.71549538037	676.3812762173347	1953.9181996696325	1464.7515652853326	990.8096774801622	3606.0241600274603	1314.295713134763	5.7029506570790976E-5	-67613.52499955977	0.0	-2140.804675841622
88000	-69915.86244108996	-2332.6833659791946	-67583.17907511078	1790.033361695006	17569.94699194159	1225.5692294135167	1886.3990929632487	2537.240364478911	3298.328945732326	646.7031670776229	1980.2506564493244	2052.420554311505	1233.1585808194477	2937.616741724963	1102.1637509523039	5.7029506570790976E-5	-67583.17907511078	0.0	-2131.5403446598584
96000	-69917.88462662246	-2329.117901849427	-67588.76672477303	1811.8792898989602	17875.690458406938	1571.2240198751742	1220.196841597213	1745.91630022102	2638.547642392353	640.6709864685627	2132.0071052835815	2506.4521997435877	1204.383523320457	2629.3944525186307	1277.3249706716554	5.7029506570790976E-5	-67588.76672477303	0.0	-2129.3597208955466
104000	-69924.73574997642	-2331.6821118636803	-67593.05363811273	1783.1578571468658	17690.7070877517	1969.2735885912755	2178.4868265269943	1927.1874205126303	2820.9561908541955	458.71077709217377	1542.2468120505275	2217.4544601092193	1213.7131583406176	2274.413509038753	1838.8518459314619	5.7029506570790976E-5	-67593.05363811273	0.0	-2130.98472421085
112000	-69922.87798213502	-2337.4007625666873	-67585.47721956833	1855.325670592895	17823.269640640938	1941.553930280058	1792.7644106062714	1842.74640433888	3314.1196689879735	583.3365409931396	1897.7072301972282	4933.918730583459	1342.1662719093902	2170.6911927981464	1202.5005974429127	5.7029506570790976E-5	-67585.47721956833	0.0	-2133.7650893458103
120000	-69929.6736552855	-2329.2192369148324	-67600.45441837066	1751.7174232199486	17550.651622537825	2235.8249137151392	2082.5374723084465	1120.575828697941	4080.126043591168	821.6234832091255	3196.6581490533054	2515.5181415086895	1219.4073391777072	2520.002120705573	1155.411597439714	5.7029506570790976E-5	-67600.45441837066	0.0	-2124.1335915236004
128000	-69922.20100451248	-2333.9083221474875	-67588.29268236499	1864.027986948271	17868.884152741437	1828.357411996031	2534.4631532538206	1820.8106688671485	3573.472242700261	840.847062930302	2370.547022232516	2174.6427045587207	912.3965362581762	2138.8554660997156	1715.32687349206	5.7029506570790976E-5	-67588.29268236499	0.0	-2131.1623101424757
136000	-69905.40448238482	-2338.986293330079	-67566.41818905475	1799.970809769816	17759.13722547491	1658.5140037686897	1765.1586594207265	2347.8897175942257	3744.527793107927	928.1290397606845	1512.8448114120627	2829.521910247227	1140.627008866698	3255.3010223670162	1870.9898380928503	5.7029506570790976E-5	-67566.41818905475	0.0	-2135.2611837655395
144000	-69908.7228573203	-2340.0868511043623	-67568.63600621594	1796.8001114164613	17698.99948579795	1416.5874902686471	1100.4945984220428	2001.251074158298	5289.713342900314	1154.2394322117877	2144.060321382303	2523.3192010110215	1039.5355589986661	2323.130974729376	1115.2269115748381	5.7029506570790976E-5	-67568.63600621594	0.0	-2138.255603943678
152000	-69912.21970707439	-2335.50865879304	-67576.71104828134	1853.3134956566334	17730.58074185071	1553.1094679022556	1731.6884251318068	1404.4448781469018	1983.114490946592	964.2068676264852	2058.7347896521505	2138.7591267251514	981.4873255145025	2831.46918531651	1355.7349386504566	5.7029506570790976E-5	-67576.71104828134	0.0	-2136.689717048415
160000	-69912.49838240282	-2322.4426388580355	-67590.05574354478	1901.5438010562084	18164.708980248135	1466.4295254229405	2762.2920024171735	1389.3419586016294	2828.22683213711	635.3345153529921	2543.1564866080507	1882.4927936064325	1629.7390801065255	2099.8428878307996	1237.3061291262404	5.7029506570790976E-5	-67590.05574354478	0.0	-2120.929933385387
168000	-69899.76755830809	-2327.2413436122542	-67572.52621469583	1832.1696023191619	17825.576467501072	1932.990151062192	2610.9064761074214	1586.6343287860261	3338.170990892517	596.9222997202324	2975.331514936044	1174.2255288443537	1555.7180288083307	2380.169803315709	1323.1371323329317	5.7029506570790976E-5	-67572.52621469583	0.0	-2123.8976832523535
176000	-69900.63381711309	-2336.1437072467247	-67564.49010986637	1879.372471186877	18032.462799206805	1822.7640019333492	1966.6093386264085	1748.073274563463	2819.910920620381	816.4841440434664	1859.9333329071815	1246.5844046176126	1525.6304426112936	1974.3996029701696	1748.963939633664	5.7029506570790976E-5	-67564.49010986637	0.0	-2137.0709052902603
184000	-69934.74626425956	-2352.5779099331894	-67582.16835432638	1862.1206723089385	18154.95800377137	2325.258845911377	3167.5197027565946	1337.0783277875591	2960.6753035491474	1837.4252238776978	2234.9356866558237	2086.671573415013	1496.4080118520374	2654.0485348823095	1152.8504927903393	5.7029506570790976E-5	-67582.16835432638	0.0	-2148.7507029688313
192000	-69910.94938460932	-2323.0237199822227	-67587.9256646271	1852.9999633359405	18025.23544461087	2498.905302809096	1103.6192386911775	1638.693596032481	2683.624452679277	707.30762212893	1873.693189198412	2356.7279714429706	1324.2603578290398	2554.586875346465	1772.141157883018	5.7029506570790976E-5	-67587.9256646271	0.0	-2122.3049893664984
200000	-69929.41719843308	-2337.420149861938	-67591.99704857114	1817.6957946259417	17872.93677455052	4761.257030898259	1517.341162633161	1428.667520590441	2787.359799476894	1337.6910868304308	2572.0060474495986	2425.2175923972914	1584.2650860756937	2123.275545262414	1200.039039481324	5.7029506570790976E-5	-67591.99704857114	0.0	-2133.887377477721
208000	-69903.650312553	-2327.2903271192636	-67576.35998543374	1876.8447355318615	18069.621208810204	2430.543827608119	1280.4160424000233	1840.1456083180178	2228.357425625882	983.7832871397186	2745.23664424667	2284.663525145362	1194.0847786391118	2568.728414444153	1058.0058362347788	5.7029506570790976E-5	-67576.35998543374	0.0	-2126.3944742942867
216000	-69919.61523034371	-2329.5525363539778	-67590.06269398973	1867.0263979073552	18001.244083412137	2178.864002040495	993.6225211941969	1373.8309943354202	2206.5293072457134	1019.0645260984637	1968.7083675351419	1601.8052471153221	1551.7266026174311	2396.7209743493354	1708.480582226213	5.7029506570790976E-5	-67590.06269398973	0.0	-2131.29981442327
224000	-69924.18256463174	-2340.6192444449143	-67583.56332018683	1808.9570257066557	18213.26309410142	2162.6506716577387	1846.8572517851549	1933.3372262854618	2236.414282616198	1022.3899284507974	3034.774761977912	1814.2471577622641	1009.3014954772469	3538.5851520180618	1909.1600423266386	5.7029506570790976E-5	-67583.56332018683	0.0	-2136.7182349844475
232000	-69904.03680382659	-2339.279883972617	-67564.75691985397	1837.8965957941473	17907.387057092896	2013.877477530995	1767.5857646810548	2460.078359831093	2222.7636862231707	1258.5284840702864	2649.608030039975	2168.1912545242835	1497.441996472625	1739.7150601615988	1951.6034635903213	5.7029506570790976E-5	-67564.75691985397	0.0	-2137.3591894590713
240000	-69916.92294789862	-2337.79490011478	-67579.12804778384	1880.0230594274435	18316.47408823565	1617.4891934765974	1928.8192233759714	1864.025069020568	2104.855121261394	919.1229677420947	3461.4435606776774	1859.4662667998384	1807.0235339353717	1935.2279506314721	1629.4396740940317	5.7029506570790976E-5	-67579.12804778384	0.0	-2135.982708905105
248000	-69909.8087966384	-2341.792153993835	-67568.01664264456	1863.8595781922531	18099.219990158123	2070.2032769743882	1677.7902819159533	3291.5562397903764	1746.8319084056152	1179.1028310382078	3707.475853123496	1984.912583504954	1403.030920134799	2773.537799337998	1694.2123295649951	5.7029506570790976E-5	-67568.01664264456	0.0	-2137.2058175798884
256000	-69920.04663356574	-2339.929635846397	-67580.11699771935	1807.2514685046285	17944.373558766474	1886.964411496691	1803.2844053596841	3876.9002278304015	1566.000339830989	833.9888918285443	2454.6466841724555	1811.7738134345507	1867.0839152645635	2260.5753454397245	1458.219163218473	5.7029506570790976E-5	-67580.11699771935	0.0	-2137.8112663464403
264000	-69922.80423110278	-2332.9690853869024	-67589.83514571589	1789.425437285354	17516.334986701764	2108.7865630114266	2274.267291871189	2164.905843471241	2033.3040531778358	1065.7494917747508	2400.934225403161	2514.7101467784887	998.2972657620994	2532.470159520451	1422.100121398759	5.7029506570790976E-5	-67589.83514571589	0.0	-2130.957232286301
